	category	context	id	location	location_subtype	location_type	month	outcome_status	persistent_id
38	anti-social-behaviour		66581514	{'latitude': '52.627557', 'street': {'id': 883053, 'name': 'On or near Guilford Street'}, 'longitude': '-1.114228'}		Force	2018-07		
39	anti-social-behaviour		66574902	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
40	anti-social-behaviour		66581512	{'latitude': '52.634824', 'street': {'id': 883427, 'name': 'On or near Janet Setchfield Place'}, 'longitude': '-1.139112'}		Force	2018-07		
41	anti-social-behaviour		66577480	{'latitude': '52.636721', 'street': {'id': 883359, 'name': 'On or near Haymarket'}, 'longitude': '-1.132898'}		Force	2018-07		
42	anti-social-behaviour		66581494	{'latitude': '52.634136', 'street': {'id': 883357, 'name': 'On or near Hotel Street'}, 'longitude': '-1.134752'}		Force	2018-07		
43	anti-social-behaviour		66577449	{'latitude': '52.634709', 'street': {'id': 883422, 'name': 'On or near Talbot Lane'}, 'longitude': '-1.141893'}		Force	2018-07		
44	anti-social-behaviour		66577456	{'latitude': '52.631679', 'street': {'id': 883519, 'name': 'On or near Catesby Street'}, 'longitude': '-1.150448'}		Force	2018-07		
45	anti-social-behaviour		66577476	{'latitude': '52.642641', 'street': {'id': 884320, 'name': 'On or near Taylor Road'}, 'longitude': '-1.122628'}		Force	2018-07		
46	anti-social-behaviour		66577485	{'latitude': '52.632993', 'street': {'id': 883396, 'name': 'On or near Nightclub'}, 'longitude': '-1.129633'}		Force	2018-07		
47	anti-social-behaviour		66577487	{'latitude': '52.638432', 'street': {'id': 883293, 'name': 'On or near Lee Circle'}, 'longitude': '-1.129717'}		Force	2018-07		
48	anti-social-behaviour		66577488	{'latitude': '52.631564', 'street': {'id': 883395, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.129661'}		Force	2018-07		
49	anti-social-behaviour		66577493	{'latitude': '52.638745', 'street': {'id': 883166, 'name': 'On or near Charnwood Street'}, 'longitude': '-1.113691'}		Force	2018-07		
50	anti-social-behaviour		66581466	{'latitude': '52.639626', 'street': {'id': 883389, 'name': 'On or near Belgrave Gate'}, 'longitude': '-1.130639'}		Force	2018-07		
51	anti-social-behaviour		66573993	{'latitude': '52.625201', 'street': {'id': 882420, 'name': 'On or near St James Road'}, 'longitude': '-1.114231'}		Force	2018-07		
52	anti-social-behaviour		66577752	{'latitude': '52.626412', 'street': {'id': 882457, 'name': 'On or near Glossop Street'}, 'longitude': '-1.109095'}		Force	2018-07		
53	anti-social-behaviour		66577764	{'latitude': '52.635414', 'street': {'id': 883313, 'name': 'On or near Yeoman Street'}, 'longitude': '-1.128742'}		Force	2018-07		
54	anti-social-behaviour		66574288	{'latitude': '52.638745', 'street': {'id': 883166, 'name': 'On or near Charnwood Street'}, 'longitude': '-1.113691'}		Force	2018-07		
55	anti-social-behaviour		66577785	{'latitude': '52.631718', 'street': {'id': 883352, 'name': 'On or near London Road'}, 'longitude': '-1.126171'}		Force	2018-07		
56	anti-social-behaviour		66577494	{'latitude': '52.635488', 'street': {'id': 883480, 'name': 'On or near Rivers Street'}, 'longitude': '-1.147640'}		Force	2018-07		
